Disease,Symptoms,Prevalence,Prevalence Rate_2023,Prevalence Rate_2022,Prevalence Rate_2021,Prevalence Rate_2020,Prevalence Rate_2019,Annual_therapy_Cost_2023,Average_therapy_cost_2019,Average_therapy_cost_2020,Average_therapy_cost_2021,Average_therapy_cost_2022,Annual_Therapy_Costs,Quality_of_Life,Morbidity,Mortality,Efficacy,Safety,Adverse_Events,Age_Group,Gender,Type_of_Drug,Target Population 2019,Target Population 2020,Target Population 2021,Target Population 2022,Target Population 2023,Market_Size_2019,Patient_Pool_2019,Market_Size_2020,Patient_Pool_2020,Market_Size_2021,Patient_Pool_2021,Market_Size_2022,Patient_Pool_2022
Carcinoid Syndrome,"Flushing, diarrhea, abdominal pain, wheezing, heart valve lesions","Approximately 12 per 100,000 people in the USA",0.000015,0.000005,0.000005,0.000015,0.000025,25000,24557.95678,24703.55731,23877.74594,23148.14815,"Approximately $100,000 per year","Significantly impacted due to chronic symptoms; patients may experience fatigue, anxiety, and limitations in daily activities",0.6,0.2,XERMELO (telotristat ethyl) has shown to reduce bowel movement frequency and improve symptoms in patients with carcinoid syndrome,"Generally well tolerated, but may cause side effects; monitoring for liver function is recommended","Nausea, headache, fatigue, depression, abdominal pain","Primarily adults, typically over 40 years old","No significant gender predisposition, but carcinoid tumors can be slightly more common in women",Small molecule (tryptophan hydroxylase inhibitor),287578181.8,285021818.2,282465454.5,279909090.9,277352727.3,176558314,7189.454545,105615792.3,4275.327273,33723191.8,1412.327273,32396885.52,1399.545455
Cervical Dystonia,"Involuntary neck muscle contractions, abnormal head posture, pain in the neck and shoulders.","Approximately 24 cases per 100,000 people in Switzerland.",0.00003,0.00002,0.00001,0,0.00001,140000,137524.558,138339.9209,133715.3773,129629.6296,"Estimated around CHF 5,000  8,000, depending on the number of injections required per year.",Significantly impacted; many patients experience distress and limitations in daily activities.,0.3,0.01,6585% of patients report improvement in symptoms after treatment with Dysport.,"Generally safe when administered appropriately; however, monitoring is essential.","Possible side effects include injection site pain (20%), muscle weakness (15%), headaches (10%), and flulike symptoms (5%).",Most commonly affects adults aged 3060 years.,Slightly more prevalent in women (60%) compared to men (40%).,Botulinum toxin type A (small molecule).,312720000,309960000,307200000,304440000,301680000,430066797.6,3127.2,410773639,3072,410773639,3072,789288888.9,6088.8
Cholangiocarcinoma (Bile Duct Cancer),"Jaundice, abdominal pain, weight loss, itchy skin, dark urine, pale stools, and fever.","Approximately 2.2 per 100,000 individuals in the USA, with around 8,000 new cases diagnosed annually.",0.000022,0.000012,0.000002,0.000008,0.000018,1750,1719.056974,1729.249012,1671.442216,1620.37037,"Approximately $200,000 to $250,000 per year.",Generally low due to symptoms and the advanced nature of most cases at diagnosis; treatment can improve symptoms but not always survival.,0.7,510.2,"In patients with locally advanced or metastatic cholangiocarcinoma with a specific genetic mutation (IDH1), Pemazyre (pemigatinib) has shown overall response rates of approximately 35%.","Commonly welltolerated, but patients require monitoring for toxicity and adverse effects.","The most common adverse events include hyperphosphatemia (77%), fatigue (47%), nausea (30%), and diarrhea (24%).","Primarily prescribed for adults, typically ages 4075.","More common in males than females, with a maletofemale ratio of about 2:1.","Small molecule inhibitor (specifically, an IDH1 inhibitor).",406000000,402400000,398800000,395200000,391600000,12562868.37,7308,5566798.419,3219.2,1333142.311,797.6,7684444.444,4742.4
Cholestasis,"Itching, jaundice, dark urine, pale stools, fatigue, abdominal pain","Approximately 0.1% to 0.5% of the general population in Switzerland, varying by specific type of cholestasis",0.003,0.00299,0.00298,0.00297,0.00296,250,245.5795678,247.0355731,238.7774594,231.4814815,"Approximately CHF 400600 per year, depending on dosage and frequency of use","Significantly affected due to symptoms like itching and fatigue, leading to reduced physical and emotional wellbeing",0.3,0.15,"Generally considered effective in alleviating symptoms of cholestasis, particularly itching caused by bile salt accumulation","Welltolerated, but longterm use requires monitoring due to potential liver effects","Diarrhea, abdominal discomfort, nausea, rash","Primarily adults, but can also occur in children depending on the underlying condition","More common in females, especially in conditions related to pregnancy or hormonal changes",Small molecules,406000000,402400000,398800000,395200000,391600000,295127701.4,1201760,295239130.4,1195128,283768863.4,1188424,273529629.6,1181648
Chronic Bronchitis,"Cough, mucus production, shortness of breath, wheezing",Approximately 5% of the adult population in Switzerland,0.05,0.04999,0.04998,0.04997,0.04996,150,147.3477407,148.2213439,143.2664756,138.8888889,Estimated at CHF 450  CHF 800 depending on prescription and insurance coverage,Often reduced due to persistent symptoms and exacerbations,0.25,0.02,Generally effective in reducing symptoms and improving mucociliary clearance; approximately 70% improvement in symptom control,Considered safe for use when prescribed; monitoring is advised for prolonged use,"Common adverse events include gastrointestinal disturbances, headache, and allergic reactions; less common events can include dyspnea and skin rashes",Primarily adults aged 4075 years,"More prevalent in males, but females are increasingly affected",Small molecules,406000000,402400000,398800000,395200000,391600000,2988766208,20283760,2980424111,20107928,2855590831,19932024,2743895556,19756048
Chronic Granulomatous Disease (CGD),"Frequent bacterial and fungal infections, granuloma formation, chronic inflammation, skin abscesses, and respiratory issues.","Approximately 1:200,000 live births; considered a rare disease in Switzerland.",0.000005,0.000005,0.000015,0.000025,0.000035,175000,171905.6974,172924.9012,167144.2216,162037.037,"Approx. CHF 30,000 to CHF 50,000 depending on additional treatments and management strategies.",Can be significantly impacted due to recurrent infections and treatment regimens; quality of life varies depending on severity and management of the disease.,0.3,5.1,Effective in enhancing immune response and preventing infections when used in conjunction with other therapies.,Generally welltolerated with low incidence of serious adverse events; requires monitoring for specific population effects.,"Mild side effects may include injection site reactions, allergic reactions, fever, and gastrointestinal discomfort.",Primarily pediatric and young adults; may affect individuals of any age.,"Affects both genders, but Xlinked CGD predominantly affects males due to genetic factors.",Biological therapy (Monoclonal Antibody).,381533333.3,378160000,374786666.7,371413333.3,368040000,2295571382,13353.66667,1634832016,9454,939651385,5621.800001,300913580.2,1857.066667
Chronic Kidney Disease,"Fatigue, swelling in hands and feet, changes in urine output, high blood pressure, anemia",Approximately 14% of adults in the USA are affected by chronic kidney disease (CKD).,0.14,0.13999,0.13998,0.13997,0.13996,2100,2062.868369,2075.098814,2005.730659,1944.444444,"Costs can vary widely; vitamin and mineral supplements may range from $200 to $1,000+, while treatments for advanced stages of CKD can exceed $80,000 per year.","Patients often experience a decreased quality of life due to fatigue, dietary restrictions, and frequent medical appointments.",0.3,20.25,Efficacy can depend on the specific formulation and intended use but generally aids in supporting overall kidney function and health.,"Generally considered safe for use as a dietary supplement, but underlying kidney conditions should be monitored.",Minimal adverse events reported; may include gastrointestinal discomfort in certain individuals.,"Most commonly affects adults, particularly those over 60 years of age.",Slightly more prevalent in men than women.,Dietary supplement (not a prescription drug).,406000000,402400000,398800000,395200000,391600000,1.1722E+11,56823760,1.16878E+11,56323928,1.11968E+11,55824024,1.07575E+11,55324048
Chronic Migraine,"Persistent headaches, nausea, sensitivity to light and sound, and interference with daily activities.","About 12% of the population in Switzerland suffers from migraines, with chronic migraines affecting approximately 12% of the population.",0.015,0.01499,0.01498,0.01497,0.01496,10000,9823.182711,9881.422925,9551.098376,9259.259259,"Approximately CHF 5,000  CHF 7,000 per patient annually.","Chronic migraines significantly reduce quality of life, causing limitations in professional, academic, and social activities.",0.3,0.01,Clinical trials show Vyepti reduces the frequency of migraine days by approximately 50% in patients.,"Generally welltolerated, with a favorable safety profile.","The most common adverse events include injection site reactions, hypersensitivity reactions, and possibly increased risk of infections.",Adults (typically ages 1865).,More prevalent in females; around 75% of chronic migraine sufferers are women.,"Monoclonal antibody (specifically, a CGRP antagonist).",248400000,246186666.7,243973333.3,241760000,239546666.7,36503575639,3716064,36417138345,3685414.4,34906595347,3654720.533,33555392593,3623982.4
Chronic Sinusitis,"Nasal congestion, facial pain or pressure, reduced sense of smell, thick nasal discharge, headache, cough",Approximately 10% of the Swiss population experiences chronic sinusitis during their lifetime.,0.1,0.09999,0.09998,0.09997,0.09996,900,884.086444,889.3280632,859.5988539,833.3333333,Approximately CHF 200300 depending on dosage and duration of treatment.,"Chronic sinusitis can significantly impact quality of life, leading to difficulties in daily activities and sleep disturbances.",0.2,0.01,"Clinical studies show that Sinupret forte can reduce symptoms and help improve overall sinus health, with efficacy rates generally around 70%.",Generally considered safe with a low risk of significant adverse effects.,"Mild gastrointestinal disturbances, allergic reactions, headache (occur in less than 10% of patients).",Effective for adults and children over 6 years old.,"No significant gender preference, affects both males and females equally.",Herbal medicinal product (combination of plant extracts).,287446666.7,284893333.3,282340000,279786666.7,277233333.3,25402605032,28733168.8,25328762724,28480786.53,24265060057,28228353.2,23313224003,27975868.8
Cluster Headaches,"Severe, unilateral head pain; episodes of pain lasting from 15 minutes to 3 hours; associated symptoms may include restlessness, tearing, nasal congestion, and eyelid drooping.",Approximately 0.1% of the population in the USA.,0.001,0.00099,0.00098,0.00097,0.00096,1800,1768.172888,1778.656126,1719.197708,1666.666667,"Estimated at $15,000 to $20,000, depending on usage frequency and healthcare coverage.",Significantly affected during cluster periods; many patients experience anxiety and depression due to the severity and unpredictability of attacks.,0.3,,Clinical studies show TRUDHESA can be effective in providing pain relief within 15 minutes for a majority of patients during an active headache.,Generally considered safe for use as directed; it is a novel formulation that is well tolerated.,"Common adverse events include nasal discomfort, taste disturbance, and somnolence. Serious adverse events are rare.","Primarily adults aged 2050 years, with onset typically occurring in early adulthood.","More common in males than females, with a maletofemale ratio of approximately 3:1.",Small molecules (nasal spray formulation).,240160000,238000000,235840000,233680000,231520000,407658624.8,230553.6,410620553.4,230860,397346475.6,231123.2,385572000,231343.2
Common Cold,"Cough, sore throat, runny or stuffy nose, sneezing, mild headache, body aches, mild fatigue, fever (in some cases)",Approximately 2030% of adults experience a common cold annually in Switzerland.,0.25,0.24999,0.24998,0.24997,0.24996,8500,8349.705305,8399.209486,8118.43362,7870.37037,Approximately 50100 CHF for overthecounter medications and symptomatic treatments.,"Quality of life is significantly impacted during the duration of symptoms, with reduced productivity and increased days off work.",0.6,0,Generally effective in providing symptomatic relief for mild and moderate symptoms; efficacy can vary among individuals.,Considered safe for shortterm use in most populations; specific contraindications may apply.,"Mild gastrointestinal disturbances, allergic reactions in sensitive individuals.","All age groups, particularly common in children under 5 and adults aged 1865.",Affects all genders equally; women may report more severe symptoms in some studies.,Herbal preparation (plantderived remedy).,406000000,402400000,398800000,395200000,391600000,8.47359E+11,101483760,8.44859E+11,100587928,8.09343E+11,99692024,7.77561E+11,98796048
Contact Dermatitis,"Redness, itching, swelling, blistering, and peeling of the skin",Approximately 1015% of the population experiences contact dermatitis at some point in their lives in Switzerland,0.125,0.12499,0.12498,0.12497,0.12496,75000,73673.87033,74110.67194,71633.23782,69444.44444,Estimated at CHF 100400 depending on frequency of use and severity of condition,"Quality of life can be significantly affected during acute flareups, with individuals experiencing discomfort and reduced daily functioning",0.25,0,"Generally effective, with resolution of symptoms in most cases within a few days to weeks depending on severity and adherence to treatment",Considered safe for topical use; minimal systemic absorption,"Possible local skin reactions such as burning, stinging, or allergic reactions in sensitive individuals",All age groups; more common in workingage adults (2050 years),"Affects both genders, but some studies suggest a higher prevalence in women due to occupational exposure",Topical corticosteroid (cream),323080000,320200000,317320000,314440000,311560000,2.97437E+12,40372076.8,2.96557E+12,40015394,2.84088E+12,39658653.6,2.7293E+12,39301855.6
Cysticercosis,"Seizures, headaches, nausea, vomiting, balance problems, cognitive dysfunction, and visual disturbances.",Approximately 0.01% of the Swiss population affected (very rare).,0.0001,0.00009,0.00008,0.00007,0.00006,150000,147347.7407,148221.3439,143266.4756,138888.8889,"Estimated annual treatment costs can range from CHF 1,500 to CHF 3,000.",Quality of life may be significantly impacted due to neurological complications; patients may experience varying levels of disability.,0.3,0.12,Efficacy rates for treating cysticercosis range from 80% to 90% in appropriate cases.,"Generally considered safe when used properly; however, it is contraindicated in certain organ dysfunctions.","Common adverse events include gastrointestinal disturbances (nausea, vomiting, diarrhea), and in rare cases, allergic reactions may occur.","Primarily adults; however, children may also be affected.","Affects all genders equally, though incidence may vary based on exposure to risk factors.",Small molecule (antiparasitic agent).,350720000,347600000,344480000,341360000,338240000,3100667976,21043.2,3606521739,24332,3948194842,27558.4,4267000000,30722.4
Cystinosis,"Growth retardation, renal tubular Fanconi syndrome leading to phosphate wasting and acidosis, ocular problems (corneal deposits), muscle weakness, and possible neurological complications.","Approximately 1 in 100,000 to 200,000 births in Switzerland.",0.0000075,0.0000025,0.0000125,0.0000225,0.0000325,4500,4420.43222,4446.640316,4297.994269,4166.666667,"Approximately CHF 40,000 to CHF 60,000.",Significantly affected due to chronic symptoms and the need for lifelong treatment and monitoring. Patients often experience reduced physical abilities and psychosocial challenges.,0.3,0.05,"Clinical studies show that Procysbi effectively reduces cystine levels, leading to slower disease progression and improved kidney function over time.",Generally welltolerated; ongoing monitoring of renal function is advised.,"Nausea, vomiting, diarrhea, abdominal pain, and occasionally, nephrotoxicity can occur.","Primarily pediatric patients, but can affect all ages (most commonly diagnosed in early childhood).",Affects both genders equally.,Small molecules (Cysteamine bitartrate).,321494545.5,318645454.5,315796363.6,312947272.7,310098181.8,46187207.54,10448.57273,31880288.8,7169.522726,16966137.01,3947.454545,3259867.424,782.3681818
Dehydration,"Thirst, dry mouth, fatigue, dizziness, decreased urine output, headache","Approximately 7% of the U.S. population experiences dehydration symptoms, with higher rates in certain groups (e.g., elderly, athletes)",0.07,0.06999,0.06998,0.06997,0.06996,175000,171905.6974,172924.9012,167144.2216,162037.037,Approximately $300  $600 depending on usage and product selection,"Reduced due to fatigue, weakness, and impaired cognitive function in severe cases",0.15,0.12,"Generally effective in rehydrating individuals, especially when used properly; specific formulations may exhibit varying effectiveness based on composition",Generally safe when used as directed; overconsumption may lead to electrolyte imbalances,"Minimal; potential for gastrointestinal discomfort (nausea, vomiting) in sensitive individuals","All age groups, with special attention to children, elderly, and athletes",No genderspecific differences noted in use or efficacy,Oral rehydration solution (ORS),240160000,238000000,235840000,233680000,231520000,2.88829E+12,16801593.6,2.87969E+12,16652860,2.75856E+12,16504083.2,2.65016E+12,16355263.2
Dermatitis,"Redness, itching, dry skin, inflammation",Approximately 10% of the population in Switzerland experiences some form of dermatitis at some point in their lives.,0.1,0.09999,0.09998,0.09997,0.09996,12500,12278.97839,12351.77866,11938.87297,11574.07407,Approximately CHF 150300 depending on usage frequency and consultations.,"Moderate to significant impact on quality of life, particularly when symptoms are severe or persistent.",0.15,0,Efficacy ranges from 7080% in reducing symptoms based on use case.,"Generally considered safe for topical use, with a low incidence of systemic absorption.","Common adverse events include localized irritation, burning sensation, and allergic reactions in sensitive individuals.","All age groups, but more prevalent in children and adults.","Affects both genders equally, though some forms (e.g., atopic dermatitis) may be more common in females.",Topical corticosteroid (cream).,268631578.9,266250526.3,263869473.7,261488421.1,259107368.4,3.2972E+11,26852412.63,3.28768E+11,26617065.11,3.14967E+11,26381669.98,3.02618E+11,26146227.23
Diabetes Insipidus,"Excessive thirst (polydipsia), increased urination (polyuria), dehydration.","Approximately 1 in 25,000 individuals (about 0.004%).",0.00004,0.00003,0.00002,0.00001,0,150,147.3477407,148.2213439,143.2664756,138.8888889,"Approximately $1,200  $2,500, depending on dosage and formulation.",DDAVP can significantly improve quality of life by reducing symptoms and preventing dehydration.,0.1,0.01,8090% effective in managing symptoms in central diabetes insipidus.,Generally safe when used as prescribed; most patients tolerate it well.,"Headache, nausea, abdominal cramps, nasal congestion (if using intranasal form).",All ages; commonly prescribed for both children and adults.,No significant gender preference; affects males and females equally.,Small molecule (synthetic analog of vasopressin).,295440000,292800000,290160000,287520000,284880000,433992.0949,2928,433992.0949,2928,831404.0115,5803.2,1198000,8625.6
Diarrhea,"Increased frequency of bowel movements, watery stools, abdominal cramps, urgency to defecate",Approximately 45% of the Swiss population experiences acute diarrhea annually,0.045,0.04499,0.04498,0.04497,0.04496,400,392.9273084,395.256917,382.0439351,370.3703704,Approximately CHF 100200 depending on the treatment duration,Diarrhea can significantly reduce quality of life due to discomfort and social limitations,0.15,0.01,Effective in reducing the frequency of bowel movements in acute diarrhea cases; provides symptomatic relief,"Generally safe when used as directed; contraindicated in certain cases (e.g., bacterial infections)","Common adverse events include constipation, dizziness, fatigue, dry mouth; rare but serious events can include toxic megacolon",Suitable for adults and children over 12 years; caution advised for younger children,No significant gender differences in use or efficacy,Small molecule (opioid antidiarrheal),247490000,245275000,243060000,240845000,238630000,4372161257,11127150.4,4359690415,11030016.75,4176824756,10932838.8,4013191315,10835616.55
Dravet Syndrome,"Frequent and prolonged seizures, developmental delays, cognitive impairments, behavioral issues, and ataxia.","Approximately 1 in 15,700 live births in the USA.",0.000064,0.000054,0.000044,0.000034,0.000024,145000,142436.1493,143280.6324,138490.9265,134259.2593,"Approximately $130,000  $150,000 per year, depending on dosage and insurance coverage.","Significantly impacted due to frequent seizures and associated developmental challenges, leading to reduced overall quality of life for patients and their families.",0.3,0.15,Clinical trials have shown that FINTEPLA can reduce the frequency of seizures in patients with Dravet Syndrome.,"Generally welltolerated; however, ongoing monitoring is required for potential adverse effects.","Common adverse events include sedation, decreased appetite, diarrhea, and irritability.",Approved for use in patients 2 years of age and older.,Affects both genders equally.,Small molecule (specific to the cannabinoid receptor system).,252992000,250756000,248520000,246284000,244048000,864844950.9,6071.808,1221568261,8525.704,1514381662,10934.88,1785559000,13299.336
Duchenne Muscular Dystrophy (DMD),"Progressive muscle weakness and atrophy, especially in the proximal muscles, delayed motor milestones, calf pseudohypertrophy, scoliosis, cardiomyopathy, respiratory issues.","Approximately 1 in 3,500 male births in Switzerland.",0.00029,0.00028,0.00027,0.00026,0.00025,402500,395383.1041,397727.2727,384431.7096,372685.1852,"Estimated at CHF 300,000  CHF 400,000.","Significantly impacted; gradual loss of independence, mobility challenges, and associated mental health issues lead to a decreased quality of life.",0.9,202530.4,"Clinical studies suggest that Hukyndra improves muscle function and slows disease progression, with significant efficacy shown in enhancing motor skills in treated patients.","Generally welltolerated, but monitoring during treatment is advised as safety data continue to evolve.","Common events include injection site reactions, headache, and an increased risk of infections; serious adverse events are rare.","Primarily affects boys aged 25 years at diagnosis, with treatment initiated at earlier ages if possible.","Predominantly affects males, as DMD is an Xlinked recessive disorder.",Monoclonal antibodies.,287578181.8,285021818.2,282465454.5,279909090.9,277352727.3,28425888550,71894.54545,29473847109,74105.67273,29318942949,76265.67272,29209031986,78374.54545
Edema,"Swelling in the extremities, shortness of breath, abdominal swelling",Approximately 35% of the Swiss population experiences edema associated with various conditions.,0.04,0.03999,0.03998,0.03997,0.03996,1552.5,1525.049116,1534.090909,1482.808023,1437.5,"Estimated around CHF 1,200  CHF 1,500 depending on treatment duration and healthcare provider.","Patients may experience reduced mobility and discomfort, leading to a decreased quality of life.",0.25,0.02,"Generally effective in reducing fluid retention, with improvements observed within days of treatment.","Generally welltolerated; however, individual responses may vary.","Possible side effects include electrolyte imbalance, dehydration, dizziness, and hypotension.","Most commonly prescribed for adults, particularly those aged 50 and older.","Equally affects males and females, though underlying causes of edema may differ by gender.",Small molecules (diuretic).,312720000,309960000,307200000,304440000,301680000,19057457847,12496291.2,19006007523,12389101.2,18211634613,12281856,17500923675,12174555.6
Endometrial Hyperplasia,"Irregular menstrual bleeding, heavy periods, prolonged menstrual cycles",Approximately 510% of women of childbearing age,0.075,0.07499,0.07498,0.07497,0.07496,750,736.7387033,741.1067194,716.3323782,694.4444444,"Approximately $500$1,000 depending on insurance coverage and dosage","Can be significantly impacted by symptoms such as heavy bleeding and pain, often improving with treatment",0.15,0.01,Approximately 6090% effective in resolving hyperplasia when used as directed,Generally considered safe when prescribed; longterm use may have risks,"Potential side effects include headaches, mood changes, nausea, breast tenderness, and weight gain",Typically prescribed to women aged 1850,Female,Hormonal therapy (progestin),406000000,402400000,398800000,395200000,391600000,22421728880,30433760,22357654150,30167928,21419787966,29902024,20580588889,29636048
Eosinophilic Esophagitis,"Difficulty swallowing, food impaction, chest pain, heartburn, and throat discomfort",Approximately 0.2% to 0.5% in Switzerland,0.0035,0.00349,0.00348,0.00347,0.00346,3379,3319.253438,3338.932806,3227.316141,3128.703704,"Estimated around 3,000 CHF to 5,000 CHF",Patients often experience a significantly reduced quality of life due to symptoms and dietary restrictions,0.3,0.01,Clinical studies indicate efficacy rates of around 70% for symptom resolution,"Generally safe, but longterm use requires monitoring for potential side effects","Possible adverse events include headache, oral thrush, and gastrointestinal discomfort","Primarily adults, but can occur in children","More common in males than females, with a ratio of 2:1",Small molecules (Topical corticosteroids),406000000,402400000,398800000,395200000,391600000,4662754460,1404760,4662245368,1396328,4478946797,1387824,4315258326,1379248
Epidermolysis Bullosa,"Blistering of the skin and mucous membranes, pain, potential complications from wounds, risk of infections","Approximately 1 in 50,000 live births in the USA",0.00002,0.00001,0,0.00001,0.00002,32500,31925.34381,32114.62451,31041.06972,30092.59259,"Estimated between $15,000 to $50,000 depending on the severity and extent of treatment","Significantly impacted due to chronic pain, frequent wounds, and medical care requirements",0.3,5.1,Clinical studies have shown improved wound healing and reduced blister formation,"Generally welltolerated, with a focus on topical application minimizing systemic effects","Local skin irritation, allergic reactions, and potential for infection at application site","All ages, but primarily affects infants and children",Affects both males and females equally,Topical gel (biologic/advanced therapy),406000000,402400000,398800000,395200000,391600000,259233791.7,8120,129229249,4024,129229249,8120,118925925.9,3952
Female Infertility,"Irregular menstrual cycles, anovulation, inability to conceive after one year of unprotected intercourse",Approximately 1015% among women of childbearing age in Switzerland,0.125,0.12499,0.12498,0.12497,0.12496,3450,3388.998035,3409.090909,3295.12894,3194.444444,"Approximately CHF 2,000  CHF 4,000, depending on the treatment course and additional procedures (like monitoring)",Effective treatment can lead to improved quality of life through success in achieving pregnancy,0.2,0,"Generally high, with success rates varying from 20% to 60% per cycle depending on the condition being treated (e.g., PCOS)","Generally considered safe when prescribed appropriately, with careful monitoring","Possible side effects include ovarian hyperstimulation syndrome (OHSS), headaches, abdominal pain, and mood swings",Primarily women aged 2040 years,Female,Hormonal therapy (small molecules),381533333.3,378160000,374786666.7,371413333.3,368040000,1.61575E+11,47676405.33,1.61109E+11,47258655.2,1.54347E+11,46840837.6,1.48296E+11,46422952.53
Fibromyalgia,"Widespread musculoskeletal pain, fatigue, sleep disturbances, cognitive difficulties, and tender points.","Approximately 2% of the adult population in the USA, predominantly affecting women.",0.02,0.01999,0.01998,0.01997,0.01996,9000,8840.86444,8893.280632,8595.988539,8333.333333,"Estimated around $8,000 to $10,000 depending on insurance coverage and specific pharmacy costs.","Fibromyalgia significantly reduces quality of life, often affecting daily activities, mental health, and social interactions.",30.8,0,Studies suggest SAVELLA (milnacipran) can reduce pain and improve function in approximately 30% to 50% of patients.,"Generally well tolerated; common side effects include nausea, constipation, headache, dry mouth, and increased blood pressure.","Serious adverse events are rare but can include suicidal thoughts, seizures, and liver enzyme abnormalities.","Adults, typically ages 18 to 65.","Predominantly affects women, with a female to male ratio of approximately 7:1.","Small molecule (specifically a serotoninnorepinephrine reuptake inhibitor, SNRI).",406000000,402400000,398800000,395200000,391600000,71644243615,8103760,71465762846,8035928,68493042980,7968024,65833733333,7900048
Focal Segmental Glomerulosclerosis (FSGS),"Edema (swelling), hypertension (high blood pressure), proteinuria (excess protein in urine), fatigue, decreased kidney function","Approximately 3.5 to 5 per 100,000 people in the USA",0.0000425,0.0000325,0.0000225,0.0000125,0.0000025,25000,24557.95678,24703.55731,23877.74594,23148.14815,"Estimated annual therapy costs range from $20,000 to $30,000, depending on insurance and healthcare settings",Quality of life can be significantly impacted due to symptoms and complications such as kidney failure and the need for dialysis or transplantation,30.5,20255.1,Clinical trials have shown efficacy in reducing proteinuria and improving kidney function in patients with FSGS,Generally welltolerated; ongoing monitoring required due to potential renal and cardiovascular implications,"Common adverse events include hypertension, elevated serum creatinine, hypoalbuminemia, and edema; can also cause infections","Primarily affects adults, typically between 20 and 50 years old, but can occur at any age",Slightly more common in males,Small molecule (Filspari is a targeted therapy for FSGS),248400000,246186666.7,243973333.3,241760000,239546666.7,15250491.16,621,76021080.38,3077.333334,131074498.5,5489.399999,181879629.6,7857.2
Follicular Lymphoma,"Painless swelling of lymph nodes, fatigue, fever, night sweats, unintentional weight loss","Approximately 3.5 cases per 100,000 people per year in Switzerland",0.000035,0.000025,0.000015,0.000005,0.000005,143750,141208.2515,142045.4545,137297.0392,133101.8519,"Approximately CHF 100,000 to CHF 150,000 per patient, depending on treatment duration and response",Patients can experience a variable quality of life; many suffer from fatigue and psychological distress due to cancer symptoms and treatment side effects,0.3,0.05,Lunsumio has demonstrated a high overall response rate (up to 70% in clinical trials) in patients previously treated for follicular lymphoma,"Generally welltolerated, with a safety profile comparable to other therapies in its class; monitoring required for immunerelated adverse events","Common adverse events include injection site reactions, fatigue, nausea, and diarrhea. Serious adverse events may include infections and cytokine release syndrome","Primarily adults (adult population, generally 18 years and older)","More common in men compared to women, with a gender ratio of approximately 1.5:1",Monoclonal antibody (targeted therapy),287446666.7,284893333.3,282340000,279786666.7,277233333.3,202949206,1437.233334,202339015.1,1424.466667,581466690.5,4235.1,931003086.5,6994.666668
Generalized Anxiety Disorder (GAD),"Excessive worry, restlessness, fatigue, difficulty concentrating, irritability, muscle tension, sleep disturbances",Approximately 4.2% in Switzerland,0.042,0.04199,0.04198,0.04197,0.04196,1690,1660.117878,1669.960474,1614.135626,1564.814815,"Approximately 1,200  2,000 CHF",Considerably reduced due to high anxiety levels impacting daily functioning,0.3,0.05,Effective in reducing anxiety symptoms; various studies show response rates of around 5070%,"Generally considered safe when used as prescribed, but with some caveats","Drowsiness, dizziness, nausea, dry mouth, potential for dependence with longterm use","Most common in adults, typically between 1865 years",More prevalent in females (approximately 60% of diagnosed cases),Small molecule (benzodiazepine),386000000,382600000,379200000,375800000,372400000,26888198821,16196560,26815761047,16057722,25695128023,15918816,24692530537,15779842
Giardiasis,"Diarrhea, abdominal pain, bloating, nausea, fatigue, weight loss",Approximately 2% to 5% in the general population in Switzerland,0.035,0.03499,0.03498,0.03497,0.03496,230,225.9332024,227.2727273,219.6752627,212.962963,Approximately CHF 150  CHF 250 for a course of treatment,"Moderate to severely impacted during acute symptoms, usually normalizes after treatment",0.15,0,Approximately 90% effective in treating giardiasis,Generally welltolerated; considered safe for use in the population,"Nausea, vomiting, abdominal pain, headache, and dizziness","All age groups, more common in children",Both genders equally affected,Antiprotozoal agent (small molecules),386000000,382600000,379200000,375800000,372400000,3048869155,13494560,3040800455,13379522,2913864069,13264416,2800301537,13149242
Gingivitis,"Redness, swelling of the gums, bleeding when brushing or flossing, bad breath.",Approximately 50% of adults in the USA experience gingivitis at some point in their lives.,0.5,0.49999,0.49998,0.49997,0.49996,125,122.7897839,123.5177866,119.3887297,115.7407407,Costs can range from $50 to $200 per year depending on insurance coverage and frequency of use.,"Poor oral health can lead to diminished quality of life, affecting nutrition and social interactions.",0.2,,Chlorhexidine gluconate is approximately 7085% effective in reducing plaque and gingivitis symptoms in clinical studies.,Generally safe when used as directed; prolonged use may cause staining of the teeth.,"Possible adverse events include mouth irritation, taste alteration, and staining of teeth and oral surfaces.","Primarily adults, though used in adolescents with gingival issues as well.","No significant gender difference in usage; however, women may be more likely to report gingival symptoms.",Antiseptic oral rinse (small molecule).,386000000,382600000,379200000,375800000,372400000,23696532417,192984560,23627534832,191288522,22635197708,189592416,21747250231,187896242
